0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
24   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/rails/RubymineProjects/spotlight/jetty/contexts at interval 0
34   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/rails/RubymineProjects/spotlight/jetty/contexts/solr.xml
1323 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1413 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1432 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1432 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/rails/RubymineProjects/spotlight/jetty/solr
1433 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/rails/RubymineProjects/spotlight/jetty/solr/'
1435 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rails/RubymineProjects/spotlight/jetty/solr/lib/contrib/' to classloader
1435 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rails/RubymineProjects/spotlight/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
1435 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rails/RubymineProjects/spotlight/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
1436 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rails/RubymineProjects/spotlight/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
1591 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/rails/RubymineProjects/spotlight/jetty/solr/solr.xml
1733 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/rails/RubymineProjects/spotlight/jetty/solr
1740 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 766809031
1740 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/rails/RubymineProjects/spotlight/jetty/solr/]
1742 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/rails/RubymineProjects/spotlight/jetty/solr/lib
1743 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rails/RubymineProjects/spotlight/jetty/solr/lib/contrib/' to classloader
1743 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rails/RubymineProjects/spotlight/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
1744 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rails/RubymineProjects/spotlight/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
1744 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rails/RubymineProjects/spotlight/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
1766 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
1766 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
1770 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
1770 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
1770 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
1771 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
1771 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
1771 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
1771 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
1902 [main] INFO  org.apache.solr.update.UpdateShardHandler  – Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
1904 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
1905 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
1906 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
1953 [main] INFO  org.apache.solr.core.CoresLocator  – Looking for core definitions underneath /home/rails/RubymineProjects/spotlight/jetty/solr
1969 [main] INFO  org.apache.solr.core.CoresLocator  – Found core blacklight-core in /home/rails/RubymineProjects/spotlight/jetty/solr/blacklight-core/
1969 [main] INFO  org.apache.solr.core.CoresLocator  – Found 1 core definitions
1971 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/rails/RubymineProjects/spotlight/jetty/solr/blacklight-core/'
2002 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
2003 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rails/RubymineProjects/spotlight/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-polish-1.7.1.jar' to classloader
